,City,country,Latitude,Longitude,Date,Max Temp,Humidity,Cloudiness,Wind Speed
78,thompson,CA,55.74,-97.86,1583964495.0,26.6,49.0,75.0,6.93
79,kindia,GN,10.06,-12.87,1583964529.0,72.63,82.0,3.0,5.32
80,moyale,KE,3.52,39.06,1583964529.0,77.67,55.0,4.0,11.18
81,tuktoyaktuk,CA,69.45,-133.04,1583964529.0,-20.2,68.0,75.0,14.99
82,puerto leguizamo,CO,-0.19,-74.78,1583964530.0,91.51,50.0,100.0,1.81
83,castro,BR,-24.79,-50.01,1583964530.0,72.82,63.0,0.0,2.82
85,malanje,AO,-9.54,16.34,1583964530.0,61.79,95.0,65.0,2.06
86,fort nelson,CA,58.81,-122.7,1583964411.0,15.8,66.0,75.0,9.17
87,vostok,RU,46.49,135.88,1583964530.0,7.63,96.0,81.0,6.91
88,upernavik,GL,72.79,-56.15,1583964530.0,-22.09,93.0,74.0,6.08
89,hervey bay,AU,-25.3,152.85,1583964530.0,75.0,83.0,58.0,11.41
91,lebu,CL,-37.62,-73.65,1583964531.0,70.92,48.0,100.0,6.53
93,buchanan,LR,5.88,-10.05,1583964531.0,78.93,84.0,14.0,4.83
95,ribeira grande,PT,38.52,-28.7,1583964491.0,59.0,72.0,75.0,10.29
96,rocha,UY,-34.48,-54.33,1583964531.0,78.1,60.0,100.0,14.92
97,cayenne,GF,4.93,-52.33,1583964531.0,80.6,69.0,90.0,6.93
98,port blair,IN,11.67,92.75,1583964532.0,79.16,68.0,0.0,6.78
99,cuiluan,CN,47.72,128.65,1583964532.0,18.5,95.0,94.0,7.61
101,yellowknife,CA,62.46,-114.35,1583964244.0,5.0,54.0,20.0,11.41
102,jinxiang,CN,22.86,115.7,1583964532.0,64.99,75.0,99.0,1.5
103,yumen,CN,40.28,97.2,1583964532.0,24.66,48.0,100.0,5.77
104,rawson,AR,-43.3,-65.1,1583964287.0,70.47,56.0,0.0,0.27
105,acari,PE,-15.43,-74.62,1583964533.0,74.97,63.0,1.0,8.66
106,kaoma,ZM,-14.78,24.8,1583964533.0,66.72,94.0,100.0,2.13
107,vila franca do campo,PT,37.72,-25.43,1583964533.0,59.0,87.0,75.0,12.75
108,lulea,SE,65.58,22.15,1583964533.0,32.0,97.0,90.0,4.7
109,berlevag,NO,70.86,29.09,1583964533.0,30.4,82.0,100.0,23.89
110,nurota,UZ,40.56,65.69,1583964533.0,35.6,59.0,0.0,4.7
111,maraa,BR,-1.83,-65.37,1583964533.0,84.56,78.0,100.0,2.15
112,rio gallegos,AR,-51.62,-69.22,1583964292.0,57.2,87.0,75.0,5.82
113,waipawa,NZ,-41.41,175.52,1583964534.0,60.01,62.0,98.0,14.99
114,hobyo,SO,5.35,48.53,1583964534.0,78.67,74.0,89.0,15.43
115,naze,JP,28.37,129.48,1583964534.0,60.8,71.0,75.0,3.36
116,cubara,CO,7.0,-72.11,1583964534.0,92.93,33.0,79.0,0.78
117,balabac,PH,7.99,117.06,1583964534.0,80.33,79.0,42.0,13.44
118,puerto ayora,EC,-0.74,-90.35,1583964314.0,84.2,74.0,20.0,11.41
119,hithadhoo,MV,-0.6,73.08,1583964534.0,83.37,73.0,100.0,10.09
120,sao filipe,CV,14.9,-24.5,1583964534.0,74.95,59.0,0.0,16.28
121,slagelse,DK,55.4,11.35,1583964535.0,43.0,93.0,0.0,6.93
122,marovoay,MG,-16.1,46.63,1583964535.0,75.2,88.0,75.0,4.7
123,isangel,VU,-19.55,169.27,1583964535.0,84.2,79.0,20.0,10.09
124,nuuk,GL,64.18,-51.72,1583964535.0,19.4,85.0,90.0,17.22
125,nantucket,US,41.28,-70.1,1583964535.0,45.0,70.0,1.0,8.05
126,bani,DO,18.28,-70.33,1583964535.0,82.4,69.0,75.0,11.41
127,nikolskoye,RU,59.7,30.79,1583964535.0,39.2,86.0,75.0,8.95
128,japura,ID,-0.32,102.35,1583964536.0,74.34,98.0,17.0,0.67
129,coquimbo,CL,-29.95,-71.34,1583964536.0,66.2,77.0,40.0,10.29
130,poum,NC,-20.23,164.02,1583964536.0,82.02,81.0,0.0,13.31
131,saldanha,ZA,-33.01,17.94,1583964536.0,60.8,87.0,0.0,8.05
132,eseka,CM,3.65,10.77,1583964536.0,71.92,97.0,97.0,5.57
133,havoysund,NO,71.0,24.66,1583964536.0,24.8,79.0,75.0,9.17
134,brae,GB,60.4,-1.35,1583964536.0,41.0,62.0,100.0,34.45
135,coahuayana,MX,18.73,-103.68,1583964536.0,82.4,69.0,75.0,11.41
136,walvis bay,NA,-22.96,14.51,1583964537.0,64.0,91.0,0.0,16.02
137,sikandarpur,IN,26.05,84.05,1583964537.0,70.75,64.0,100.0,4.09
138,darab,IR,28.75,54.54,1583964537.0,52.74,18.0,0.0,0.81
139,muli,MV,2.92,73.57,1583964537.0,83.46,68.0,100.0,9.93
140,te anau,NZ,-45.42,167.72,1583964537.0,46.45,79.0,1.0,3.71
